id,label,x,y
04,kujawsko-pomorskie,-2685,2300
04,kujawsko-pomorskie,-2673,2321
04,kujawsko-pomorskie,-2636,2286
04,kujawsko-pomorskie,-2622,2294
04,kujawsko-pomorskie,-2636,2318
04,kujawsko-pomorskie,-2591,2324
04,kujawsko-pomorskie,-2565,2306
04,kujawsko-pomorskie,-2541,2345
04,kujawsko-pomorskie,-2573,2366
04,kujawsko-pomorskie,-2570,2418
04,kujawsko-pomorskie,-2544,2396
04,kujawsko-pomorskie,-2478,2424
04,kujawsko-pomorskie,-2510,2471
04,kujawsko-pomorskie,-2493,2484
04,kujawsko-pomorskie,-2471,2462
04,kujawsko-pomorskie,-2447,2481
04,kujawsko-pomorskie,-2402,2435
04,kujawsko-pomorskie,-2366,2504
04,kujawsko-pomorskie,-2309,2457
04,kujawsko-pomorskie,-2240,2456
04,kujawsko-pomorskie,-2246,2411
04,kujawsko-pomorskie,-2123,2393
04,kujawsko-pomorskie,-2099,2424
04,kujawsko-pomorskie,-2063,2372
04,kujawsko-pomorskie,-2000,2408
04,kujawsko-pomorskie,-1907,2402
04,kujawsko-pomorskie,-1922,2318
04,kujawsko-pomorskie,-1840,2297
04,kujawsko-pomorskie,-1696,2306
04,kujawsko-pomorskie,-1696,2306
04,kujawsko-pomorskie,-1696,2306
04,kujawsko-pomorskie,-1696,2306
04,kujawsko-pomorskie,-1695,2306
04,kujawsko-pomorskie,-1617,2149
04,kujawsko-pomorskie,-1632,2120
04,kujawsko-pomorskie,-1597,2089
04,kujawsko-pomorskie,-1588,2117
04,kujawsko-pomorskie,-1557,2108
04,kujawsko-pomorskie,-1515,2039
04,kujawsko-pomorskie,-1464,2039
04,kujawsko-pomorskie,-1470,2008
04,kujawsko-pomorskie,-1422,2017
04,kujawsko-pomorskie,-1365,2011
04,kujawsko-pomorskie,-1322,1939
04,kujawsko-pomorskie,-1356,1924
04,kujawsko-pomorskie,-1359,1894
04,kujawsko-pomorskie,-1319,1891
04,kujawsko-pomorskie,-1310,1810
06,lubelskie,188,-757
06,lubelskie,135,-508
06,lubelskie,132,-429
06,lubelskie,113,-342
06,lubelskie,147,-242
06,lubelskie,92,-207
06,lubelskie,116,-182
06,lubelskie,138,-135
06,lubelskie,86,-98
06,lubelskie,107,-69
06,lubelskie,135,-69
06,lubelskie,141,-17
06,lubelskie,86,69
06,lubelskie,20,66
06,lubelskie,-23,116
06,lubelskie,-8,182
06,lubelskie,69,147
06,lubelskie,138,176
06,lubelskie,173,242
06,lubelskie,135,291
